Vaccine Candidate	Trial Phase	Donor Country	Finalized Commitment	Manufacturer	Manufacturer Primary Location	Recipient Country 	Doses Committed (in millions)	1 or 2 doses	Timeline 	Donation/Purchased	Secondary or Tertiary Transfer	Transfer Type	Recipient Income Level	 GNI/capita (Atlas method) 	GNI (Current USD, in millions)	Doses/Capita	Proportion of population	 Population size 	Population size (in millions)	Notes	Source
AstraZeneca/Oxford	Approved	Barbados	Yes	Serum Institute	India	Suriname	0.001	2	Feb-21	Donation	Tertiary	Direct	Upper middle income	 5,420 	3,149.27	0.0017	0.086%	 581,363 	 0.581 		https://newsday.co.tt/2021/02/19/indias-500000-vaccine-donation-to-caribbean-what-we-know/ ; https://www.reuters.com/article/us-health-coronavirus-suriname-vaccine/suriname-begins-coronavirus-vaccination-campaign-with-donated-doses-idUSKBN2AN2AT
AstraZeneca/Oxford	Approved	Barbados	Yes	Serum Institute	India	Trinidad and Tobago	0.002	2	Feb-21	Donation	Tertiary	Direct	High income	 17,010 	23,723.24	0.0014	0.072%	 1,394,973 	 1.395 	Barbados received a vaccine donation from India, then donated some of those doses to Trinidad and Tobago	https://www.nationnews.com/2021/02/18/trinidad-vaccines-came-barbados/
Not available	#N/A	Belgium	Yes			COVAX	4	#N/A		Donation	Secondary	Direct	COVAX	 9,100 	62,148,189.00	0.0006	#N/A	 6,829,734,856 	 6,829.735 	Donation pledged to COVAX during the GAVI Summit in June 2021	https://www.gavi.org/news/media-room/world-leaders-unite-commit-global-equitable-access-covid-19-vaccines
AstraZeneca/Oxford	Approved	Bermuda	Yes			Trinidad and Tobago	0.009	2	May-21	Donation	Tertiary	Direct	High income	 17,010 	23,723.24	0.0065	0.323%	 1,394,973 	 1.395 	Bermuda has not announced any primary arrangements with AstraZeneca, and therefore arrangement is assumed to be tertiary	https://foreign.gov.tt/resources/news/trinidad-and-tobago-receives-9000-doses-who-approved-astrazeneca-covid-19-vaccines-bermuda/
Not available	#N/A	Bulgaria	Unclear			Unclear	0.15	#N/A		Unclear	Secondary	Direct	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	Bulgaria wants to donate doses to its western Balkan neighbours. It is in talks with the European Commission on how this can be undertaken and whether doses can be donated or resold. Individual allocations are yet to be decided	https://www.reuters.com/world/europe/bulgaria-provide-up-150000-covid-vaccines-balkan-countries-2021-06-03/
Not available	#N/A	Canada	No			Unclear	100	#N/A		Donation	Secondary	Direct	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	Canada is expected to announce plans to share upto 100m doses. Details are yet to be finalised	https://www.reuters.com/business/healthcare-pharmaceuticals/g7-donate-1-billion-covid-19-vaccine-doses-poorer-countries-2021-06-10/
Sinovac	Approved	Chile	Yes			Ecuador	0.02	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 6,090 	105,721.49	0.0012	0.058%	 17,373,662 	 17.374 		https://www.reuters.com/article/health-coronavirus-ecuador-chile-idUSL1N2L409A
Sinovac	Approved	Chile	Yes			Paraguay	0.02	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 5,520 	38,878.97	0.0028	0.142%	 7,044,636 	 7.045 		https://www.thechronicleherald.ca/news/world/chile-donates-40000-doses-of-sinovac-vaccine-to-ecuador-and-paraguay-560543/
Sinopharm/Beijing	Approved	China	Yes			Afghanistan	0.7	2	Jun-21	Donation	Secondary	Direct	Low income	 530 	20,043.57	0.0184	0.920%	 38,041,754 	 38.042 	Earlier news mentioned 0.4m doses, but local reports say 0.7m doses expected in Jun 2021	https://bakhtarnews.af/mcc-bears-transportation-costs-of-700000-chinese-donated-vaccines-for-afghanistan/ ; http://www.afghanistantimes.af/china-to-donate-700000-covid-19-vaccine-doses-to-afghanistan/ ; https://www.reuters.com/article/us-health-coronavirus-afghanistan-vaccin/china-to-provide-afghanistan-with-400000-doses-of-covid-19-vaccine-idUSKCN2AT1V5; https://www.nytimes.com/2021/06/10/world/afghanistan-sinopharm-covid-vaccine.html
Sinopharm/Beijing	Approved	China	Yes			Algeria	0.2	2	Feb-21	Donation	Secondary	Direct	Lower middle income	 4,010 	172,476.08	0.0046	0.232%	 43,053,054 	 43.053 		https://dailynewsegypt.com/2021/02/25/algeria-receives-donation-of-200000-doses-of-covid-19-vaccine-from-china/
Sinopharm/Beijing	Approved	China	Yes			Angola	0.2	2	Mar-21	Donation	Secondary	Direct	Lower middle income	 2,960 	94,225.02	0.0063	0.314%	 31,825,295 	 31.825 		https://macaonews.org/portuguese-speaking-countries/china-donates-200000-covid-19-vaccine-doses-to-angola/
Sinopharm/Beijing	Approved	China	Yes			Azerbaijan	0.15	2	Apr-21	Donation	Secondary	Direct	Upper middle income	 4,480 	44,873.71	0.0150	0.748%	 10,023,318 	 10.023 		https://www.turan.az/ext/news/2021/4/free/politics_news/en/3505.htm/001
Sinopharm/Beijing	Approved	China	Yes			Bangladesh	1.1	2	May-21	Donation	Secondary	Direct	Lower middle income	 1,940 	316,235.04	0.0067	0.337%	 163,046,161 	 163.046 	2 batches of vaccines donated - 0.5m in May and 0.6m in June	https://www.aa.com.tr/en/asia-pacific/china-gives-bangladesh-another-600-000-doses-of-covid-19-vaccine/2272534 ; reuters.com/article/us-health-coronavirus-vaccines/factbox-vaccines-donated-by-the-united-states-and-china-idUSKCN2DL0AO ; https://www.dhakatribune.com/bangladesh/2021/04/22/no-need-to-worry-over-vaccine-says-momen
Sinopharm/Beijing	Approved	China	Yes			Barbados	0.03	2	Apr-21	Donation	Secondary	Direct	High income	 17,380 	4,988.85	0.1045	5.226%	 287,025 	 0.287 	Delivery has not yet occurred as of end of April 2021	https://barbadostoday.bb/2021/04/01/barbados-to-get-30000-doses-of-chinese-sinopharm-vaccine-pm-mottley/
Sinopharm/Beijing	Approved	China	Yes			Belarus	0.4	2	Feb-21	Donation	Secondary	Direct	Upper middle income	 6,290 	59,501.93	0.0423	2.113%	 9,466,856 	 9.467 	Two batches of donation of 0.1m and 0.3m each	https://www.belarus.by/en/press-center/humanitarian-cooperation/china-sends-100000-coronavirus-vaccines-to-belarus_i_0000125877.html ; https://eng.belta.by/society/view/plane-with-300000-chinese-covid-19-vaccine-lands-in-minsk-139976-2021/
Sinovac	Approved	China	Yes			Benin	0.1	2	Mar-21	Donation	Secondary	Direct	Lower middle income	 1,250 	14,799.21	0.0085	0.424%	 11,801,151 	 11.801 	0.1m doses, along with purchase of 0.103m doses	https://www.facebook.com/watch/live/?v=456510205771539&ref=watch_permalink ; https://www.gouv.bj/actualite/1226/lutte-contre-pandemie-coronavirus--covid-19-benin-recu-203.000-doses-vaccins-chine/
Sinopharm/Beijing	Approved	China	Yes	Sinopharm	China	Bolivia	0.1	2		Donation	Secondary	Direct	Lower middle income	 3,520 	40,563.57	0.0087	0.434%	 11,513,100 	 11.513 		https://as.com/diarioas/2021/02/12/actualidad/1613164666_711512.html
Sinovac	Approved	China	Yes			Bosnia and Herzegovina	0.05	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 6,170 	20,375.25	0.0151	0.757%	 3,301,000 	 3.301 		https://balkaninsight.com/2021/03/31/bosnian-leaders-slammed-for-vaccine-scarcity-as-pandemic-worsens/ ; https://www.reuters.com/article/us-health-coronavirus-serbia-bosnia/former-enemy-serbia-donates-covid-19-vaccines-to-bosnias-muslims-croats-idUKKBN2AU1HR
Sinovac	Approved	China	Yes			Botswana	0.2	2	Apr-21	Donation	Secondary	Direct	Upper middle income	 7,650 	17,629.59	0.0868	4.341%	 2,303,697 	 2.304 	Another 0.2m doses have been purchased by Botswana.	https://africa.cgtn.com/2021/04/23/botswana-to-receive-donation-of-covid-19-vaccines-from-china/ ; http://www.xinhuanet.com/english/africa/2021-04/26/c_139906984.htm#:~:text=He%20said%20that%20in%20the,countries'%20anti%2Dpandemic%20cooperation.
Sinopharm/Beijing	Approved	China	Yes			Brunei Darussalam	0.052	2	Feb-21	Donation	Secondary	Direct	High income	 32,230 	13,965.65	0.1200	6.001%	 433,285 	 0.433 		http://www.xinhuanet.com/english/2021-02/11/c_139736129.htm ; http://bn.china-embassy.org/chn/sgxss/t1859554.htm
Sinopharm/Beijing	Approved	China	Yes			Cambodia	1.7	2	Feb-21	Donation	Secondary	Direct	Lower middle income	 1,530 	25,211.73	0.1031	5.156%	 16,486,542 	 16.487 	The first donation of 1m doses arrived in two batches, followed by two more donations of 0.4m and 0.3m respectively.	https://abcnews.go.com/Health/wireStory/cambodia-covid-19-vaccine-key-ally-china-75738331 ; https://www.phnompenhpost.com/national/400k-doses-chinas-sinopharm-vaccine-arrive-kingdom ; https://www.khmertimeskh.com/50832701/more-vaccine-relief-700000-doses-of-sinopharm-vaccine-arrive-from-china/
Sinopharm/Beijing	Approved	China	Yes			Cameroon	0.2	2	Apr-21	Donation	Secondary	Direct	Lower middle income	 1,500 	38,882.92	0.0077	0.386%	 25,876,380 	 25.876 		https://www.aa.com.tr/en/africa/cameroon-receives-1st-covid-19-vaccine-batch/2205731
Sinopharm/Beijing	Approved	China	Yes			Comoros	0.1	2	Mar-21	Donation	Secondary	Direct	Lower middle income	 1,400 	1,193.37	0.1175	5.876%	 850,886 	 0.851 		https://la1ere.francetvinfo.fr/reunion/les-comores-viennent-de-recevoir-leurs-premieres-doses-de-vaccin-chinois-961258.html
Not available	#N/A	China	Yes			Congo, Rep.	0.1	#N/A		Donation	Secondary	Direct	Lower middle income	 1,720 	9,248.58	0.0186	#N/A	 5,380,508 	 5.381 	China also agreed to forgive 13 million USD in public debt at the same time.	https://www.reuters.com/article/us-health-coronavirus-congorepublic-vacc-idUSKBN2A42OI
Sinovac	Approved	China	Yes			Djibouti	0.2	2	Mar-21	Donation	Secondary	Direct	Lower middle income	 3,310 	3,225.28	0.2054	10.272%	 973,560 	 0.974 		http://www.xinhuanet.com/english/africa/2021-03/19/c_139820275.htm ; https://www.thinkglobalhealth.org/article/politics-vaccine-donation-and-diplomacy
Sinopharm/Beijing	Approved	China	Yes			Dominica	0.02	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 7,920 	568.75	0.2785	13.926%	 71,808 	 0.072 		https://dominicanewsonline.com/news/homepage/news/20-thousand-chinese-vaccine-doses-arrive-in-dominica-melissa-skerrit-takes-first-shot/
Sinovac	Approved	China	Yes			Dominican Republic	0.05	2	Feb-21	Donation	Secondary	Direct	Upper middle income	 8,080 	86,749.30	0.0047	0.233%	 10,738,958 	 10.739 		https://dominicantoday.com/dr/local/2021/03/16/china-delivers-1m-vaccines-to-the-dominican-republic/
Sinopharm/Beijing	Approved	China	Yes		China	Egypt	0.6	2	Feb-21	Donation	Secondary	Direct	Lower middle income	 2,690 	269,859.17	0.0060	0.299%	 100,388,073 	 100.388 	Donations received in two batches of 300,000 doses each.	https://www.africanews.com/2021/03/22/egypt-receives-second-shipment-of-vaccine-from-china// ; https://www.arabnews.com/node/1828781/middle-easthttps://www.arabnews.com/node/1828781/middle-east ; https://www.arabnews.com/node/1805506/middle-east https://www.nytimes.com/2021/02/11/world/asia/vaccine-diplomacy-india-china.html#click=https://t.co/Tv0JrEK1qr
Sinovac	Approved	China	Yes			El Salvador	0.15	2	Apr-21	Donation	Secondary	Direct	Lower middle income	 4,000 	25,807.94	0.0232	1.162%	 6,453,553 	 6.454 		http://www.xinhuanet.com/english/2021-04/08/c_139866959.htm ; https://www.reuters.com/article/us-health-coronavirus-el-salvador-china/china-to-donate-150000-sinovac-covid-19-vaccine-doses-to-el-salvador-idUSKBN2BR0RM
Sinopharm/Beijing	Approved	China	Yes			Equatorial Guinea	0.1	2	Feb-21	Donation	Secondary	Direct	Upper middle income	 6,460 	8,765.71	0.0737	3.687%	 1,355,986 	 1.356 		https://www.france24.com/en/live-news/20210211-china-donates-100-000-covid-vaccines-to-equatorial-guinea
Sinopharm/Beijing	Approved	China	Yes			Ethiopia	0.3	2	Mar-21	Donation	Secondary	Direct	Low income	 850 	94,972.32	0.0027	0.134%	 112,078,730 	 112.079 		https://www.aa.com.tr/en/africa/ethiopia-gets-300-000-virus-vaccine-doses-from-china/2192681
Sinovac	Approved	China	Yes			Fiji		2	Mar-21	Donation	Secondary	Direct	Upper middle income	 5,800 	5,163.26	0.0000	0.000%	 889,953 	 0.890 		http://www.councilpacificaffairs.org/news-media/china-to-donate-sinovac-vaccine-to-fiji/
Sinopharm/Beijing	Approved	China	Yes			Gabon	0.4	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 7,170 	15,578.25	0.1841	9.206%	 2,172,579 	 2.173 	Two batches of doses donated, 0.1m and 0.3m each	https://gabon24.ga/en/news/gabon-receives-100000-doses-of-sinopharms-vaccine-from-china/5155/ ; https://www.gabonreview.com/vaccin-anti-covid-le-gabon-recoit-300-000-doses-de-sinopharm/
Sinovac	Approved	China	Yes			Georgia	0.1	2	Apr-21	Donation	Secondary	Direct	Upper middle income	 4,780 	17,789.95	0.0269	1.344%	 3,720,382 	 3.720 		https://agenda.ge/en/news/2021/900?fbclid=IwAR0eAvhDiucqYTCmr_EHsa3Lv0teNzidHnh3SbP39RyPsKWsx_RDvzGgZSc
Sinopharm/Beijing	Approved	China	Yes			Guinea	0.4	2	Mar-21	Donation	Secondary	Direct	Low income	 930 	11,883.78	0.0313	1.566%	 12,771,246 	 12.771 	Two donations of 0.2m each made from China. The second batch is yet to be delivered	https://www.reuters.com/article/health-coronavirus-guinea-idUSL5N2L1637 ; https://www.reuters.com/business/healthcare-pharmaceuticals/guinea-receives-purchase-300000-sinovac-covid-19-vaccines-2021-04-18/
Sinopharm/Beijing	Approved	China	Yes			Guinea-Bissau	0.01	2	Feb-21	Donation	Secondary	Direct	Low income	 820 	1,569.76	0.0052	0.260%	 1,920,922 	 1.921 		https://www.emergency-live.com/news/covid-in-africa-from-senegal-a-gesture-of-african-solidarity-for-the-gambia-and-guinea-bissau-20000-doses-donated/
Sinopharm/Beijing	Approved	China	Yes			Guyana	0.02	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 6,630 	5,188.28	0.0256	1.278%	 782,766 	 0.783 		https://www.scmp.com/news/china/diplomacy/article/3125804/chinese-president-xi-jinping-offers-more-vaccine-support
Sinopharm/Beijing	Approved	China	Yes			Iran, Islamic Rep.	0.25	2	Feb-21	Donation	Secondary	Direct	Upper middle income	 5,300 	433,734.19	0.0030	0.151%	 82,913,906 	 82.914 		https://www.livemint.com/science/health/150000-doses-of-bharat-biotech-s-covaxin-reaches-iran-11615461876905.html
Sinopharm/Beijing	Approved	China	Yes			Iraq	0.05	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 5,740 	225,739.22	0.0013	0.064%	 39,309,783 	 39.310 	Iraq has separate purchasing agreement for 2m doses. A second batch of donations was sent in April 2021, but the doses are not reported.	https://www.reuters.com/article/health-coronavirus-iraq-vaccine-int-idUSKBN2AU0YD ; https://global.chinadaily.com.cn/a/202104/12/WS6073a083a31024ad0bab4ccc.html
Sinopharm/Beijing	Approved	China	Yes			Jordan	0.05	2	Apr-21	Donation	Secondary	Direct	Upper middle income	 4,410 	44,542.12	0.0049	0.247%	 10,101,694 	 10.102 		http://www.chinadaily.com.cn/a/202104/26/WS60861a3ea31024ad0baba4f8.html ; https://en.royanews.tv/news/27348/2021-04-25
Sinopharm/Beijing	Approved	China	Yes			Kyrgyz Republic	0.15	2	Mar-21	Donation	Secondary	Direct	Lower middle income	 1,240 	8,000.28	0.0232	1.162%	 6,456,900 	 6.457 		https://thediplomat.com/2021/04/kyrgyzstan-begins-covid-19-vaccination-campaign-with-free-chinese-doses/
Sinopharm/Beijing	Approved	China	Yes			Lao PDR	1.902	2	Feb-21	Donation	Secondary	Direct	Lower middle income	 2,570 	18,438.74	0.2653	13.265%	 7,169,455 	 7.169 	Laos has received 4 different shipments of the vaccine from China - 0.002m, 0.3m, 0.8m and 0.3m totalling to 1.402 doses. China has further promised 0.5m doses in June 2020	https://laotiantimes.com/2021/06/02/china-promises-500000-more-doses-of-sinopharm-covid-19-vaccine/ ; https://www.vientianetimes.org.la/freeContent/FreeConten300_80.php ; https://news.cgtn.com/news/2021-02-08/China-donated-Sinopharm-COVID-19-vaccines-arrive-in-Laos-XICEI94lEc/index.html
Sinopharm/Beijing	Approved	China	Unclear			Lebanon	0.09	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 7,380 	50,560.91	0.0131	0.656%	 6,855,713 	 6.856 		https://www.reuters.com/article/health-coronavirus-lebanon-china-int-idUSKBN2AT35Q ; https://www.arabnews.com/node/1838361/middle-east
Sinopharm/Beijing	Approved	China	Yes			Maldives	0.2	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 9,680 	5,137.43	0.3767	18.834%	 530,953 	 0.531 	A first batch of 0.1m doses has been delivered. There are also some unconfirmed reports that Maldives is purchasing the Sinopharm vaccine (separate from the donation)	https://raajje.mv/97335
Sinopharm/Beijing	Approved	China	Yes			Mauritania	0.05	2	Mar-21	Donation	Secondary	Direct	Lower middle income	 1,660 	7,493.58	0.0110	0.552%	 4,525,696 	 4.526 		https://www.africanews.com/2021/03/24/mauritania-receives-first-covid-19-vaccines-from-china//
Sinopharm/Beijing	Approved	China	Yes			Mauritius	0.1	2	Apr-21	Donation	Secondary	Direct	High income	 12,900 	16,322.00	0.0790	3.950%	 1,265,711 	 1.266 		https://www.aa.com.tr/en/asia-pacific/mauritius-receives-100-000-doses-of-chinese-vaccine/2210417
Sinopharm/Beijing	Approved	China	Yes			Moldova	0.15	2	Apr-21	Donation	Secondary	Direct	Lower middle income	 4,590 	12,194.85	0.0564	2.822%	 2,657,637 	 2.658 		https://www.ipn.md/en/250000-vaccines-from-china-get-to-chisinau-150000-7967_1081294.html ; https://gov.md/en/content/chinese-government-donate-large-batch-doses-covid-vaccine-moldova
Sinopharm/Beijing	Approved	China	Yes			Mongolia	0.3	2	Feb-21	Donation	Secondary	Direct	Lower middle income	 3,790 	12,234.61	0.0930	4.651%	 3,225,167 	 3.225 		http://www.xinhuanet.com/english/2021-02/23/c_139759597.htm
Sinopharm/Beijing	Approved	China	Yes			Montenegro	0.03	2	Feb-21	Donation	Secondary	Direct	Upper middle income	 9,060 	5,634.42	0.0482	2.411%	 622,137 	 0.622 		https://www.gov.me/en/News/239511/Health-Minister-Borovinic-Bojovic-gets-COVID-19-vaccine.html
Sinopharm/Beijing	Approved	China	Yes			Mozambique	0.26	2	Feb-21	Donation	Secondary	Direct	Low income	 490 	14,772.88	0.0086	0.428%	 30,366,036 	 30.366 	Two batches of donations received, 0.2m and 0.06m. The second donation is for defence and security forces	https://www.reuters.com/article/idUSL5N2L35GH ; https://clubofmozambique.com/news/look-china-gives-fadm-60000-covid-19-vaccine-doses-o-pais-193836/ ; https://www.chinadaily.com.cn/a/202102/25/WS60376b4ca31024ad0baab18c.html
Sinopharm/Beijing	Approved	China	Yes			Myanmar	0.5	2	May-21	Donation	Secondary	Direct	Lower middle income	 1,390 	75,186.23	0.0093	0.463%	 54,045,420 	 54.045 	Earlier reports mentioned an intended donation of 0.3m doses. Final 0.5m doses received in May 2021	https://www.efe.com/efe/english/portada/myanmar-receives-500-000-doses-of-covid-19-vaccine-donated-by-china/50000260-4526819 ; https://www.irrawaddy.com/news/burma/china-inks-economic-agreements-myanmar-promising-covid-19-vaccine-donation.html
Sinopharm/Beijing	Approved	China	Yes			Namibia	0.1	2		Donation	Secondary	Direct	Upper middle income	 5,060 	12,628.88	0.0401	2.004%	 2,494,530 	 2.495 		http://www.xinhuanet.com/english/africa/2021-03/20/c_139822516.htm ; https://www.reuters.com/article/health-coronavirus-namibia-vaccines-idUSL1N2KO1AS
Sinopharm/Beijing	Approved	China	Yes			Nepal	0.8	2	Feb-21	Donation	Secondary	Direct	Lower middle income	 1,090 	31,058.96	0.0280	1.398%	 28,608,710 	 28.609 	First reported in Feb, the donated vaccines arrived in March and will be used for Nepal's second phase of vaccinations. 0.5m doses have been received but some reports mention a total of 0.8m doses.	https://www.reuters.com/article/health-coronavirus-nepal/china-will-give-more-doses-of-covid-19-vaccine-to-nepal-idUSL3N2L018Z ; https://news.cgtn.com/news/2021-04-07/Nepal-to-resume-COVID-19-vaccination-with-China-donated-jabs-Zg1ZoVCUCc/index.html ; https://www.hindustantimes.com/world-news/china-announces-500-000-doses-of-covid-19-vaccine-for-nepal-101612552545161.html ; https://www.business-standard.com/article/international/nepal-to-administer-china-s-coronavirus-vaccines-to-citizens-from-april-7-121040500236_1.html La compatibilité du lecteur d'écran est activée.
Sinopharm/Beijing	Approved	China	Yes			Niger	0.4	2	Mar-21	Donation	Secondary	Direct	Low income	 600 	13,877.72	0.0172	0.858%	 23,310,715 	 23.311 	This the first vaccine to reach Niger	https://www.reuters.com/article/us-health-coronavirus-niger/china-donates-400000-doses-of-sinopharm-vaccine-to-niger-idUSKBN2BD0UE
Sinopharm/Beijing	Approved	China	Yes			Pakistan	1.5	2	Jan-21	Donation	Secondary	Direct	Lower middle income	 1,410 	304,452.24	0.0069	0.346%	 216,565,318 	 216.565 	Total 1.5m doses donated so far, with another 0.05m doses likely to be donated	https://www.aljazeera.com/news/2021/3/18/pakistan-receives-second-batch-of-500000-vaccines-from-china ; https://www.washingtonpost.com/world/asia_pacific/india-vaccine-diplomacy/2021/01/21/0d5f0494-5b49-11eb-a849-6f9423a75ffd_story.html ; https://www.thenews.com.pk/latest/819587-china-to-donate-500000-more-coronavirus-vaccine-doses-to-pakistan
Sinopharm/Beijing	Approved	China	Yes			Papua New Guinea	0.2	2	Feb-21	Donation	Secondary	Direct	Lower middle income	 2,750 	24,151.32	0.0228	1.139%	 8,776,109 	 8.776 	Donation was announced in Feb 2021 but is yet to delivered. Delay is reportedly due to pending approvals in PNG	https://postcourier.com.pg/china-awaits-decision-on-vaccine-offer/
