Vaccine Developer ,Manufacturer                            ,Manufacturer Type     ,Manufacturer Location,Income Level2      ,Anticipated Production Dose/Year (in millions),Anticipated Production Total Doses (in millions),Date Arrangement Publicly Announced,Part of Combination Procurement Arrangement,Government Sponsored/Supported,Arrangement Category     ,Arrangement Details                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Associated upgrades/technology transfer details                                                                                                                                                                                                                                                                                                                                                            ,Financing Details                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Primary Market Intended For,Income Level3      ,Secondary Market         ,Income Level4      ,Notes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Sources
Bharat Biotech    ,Ocugen Inc                              ,Publicly traded       ,United States        ,High income        ,                                              ,                                                ,2/2/2021                           ,No                                         ,                              ,Full process             ,"Bharat and Ocugen will co-develop, supply, and commercialize for the US market. Ocugen will have the US rights and will be responsible for many aspects including clinical development and commercialisation.                                                                                                                                                                                                                                                                                                                            ",Bharat will facilitate tech transfer to help the manufacturing process.                                                                                                                                                                                                                                                                                                                                    ,Ocugen will retain 45% of the profits.                                                                                                                                                                                                                                                                                                                                                                                                                                           ,United States              ,High income        ,                         ,#N/A               ,Ocugen to receive initial supply of COVAXIN™ doses from Bharat Biotech upon authorization from US regulatory authorities while it ramps up manufacturing in the US                                                                                                                                                                                                                                                                                                                                                                                                ,https://www.globenewswire.com/news-release/2021/02/02/2168331/0/en/Ocugen-and-Bharat-Biotech-Announce-Execution-of-Definitive-Agreement-for-the-Commercialization-of-COVAXIN-in-the-US-Market.html
CanSino Biologics ,Drugmex                                 ,Privately held        ,Mexico               ,Upper middle income,                                              ,                                                ,2/1/2021                           ,No                                         ,                              ,Fill-and-finish          ,At least 4m doses are expected to sent to the Drugmex facility in Mexico for fill-and-finish. Unclear if Mexican government is involved in the arrangement.                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Mexico                     ,Upper middle income,                         ,#N/A               ,"Drugmex is a Mexican company, but is a subsidiary of an Argentinian company, Grupo Dromex.                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",https://www.gob.mx/sre/en/articulos/mexico-accelerates-national-vaccination-plan-will-receive-22-million-additional-doses-of-sinovac-and-sinopharm-vaccines-266424
CanSino Biologics ,AJM Pharma Pvt                          ,Privately held        ,Pakistan             ,Lower middle income,                                              ,20                                              ,7/6/2020                           ,Yes                                        ,Pakistan                      ,Fill-and-finish          ,"It is reported that by conducting fill-and-finish in Pakistan, the overall cost of procuring the vaccines will be reduced by 25%.                                                                                                                                                                                                                                                                                                                                                                                                        ",                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Pakistan                   ,Lower middle income,                         ,#N/A               ,Pakisan government & AJM are running local clinical trials fro CanSino                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,https://economictimes.indiatimes.com/small-biz/entrepreneurship/crowdfundings-tryst-with-success/articleshow/81464803.cms ; https://www.dawn.com/news/1568149 ; https://www.bloomberg.com/news/articles/2021-01-22/china-vaccine-maker-cansino-to-offer-pakistan-20-million-doses
CanSino Biologics ,Petrovax                                ,Privately held        ,Russian Federation   ,Upper middle income,120                                           ,                                                ,9/21/2020                          ,No                                         ,                              ,Full process             ,"Will have exclusive rights to sell in Russia and CIS countries if approved in Russia. Conducting clinical trial in Russia. Conflicting information on dose capacity; Petrovax's website said in a September release that it was currently  making 4 m doses/month, and with improvements, could be expanded to make up to 10m doses/month. Petrovax investing 13 million USD to expand production capacity.                                                                                                                              ",Approximately 13m USD being invested to expand manufacturing capacity.                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Russian Federation         ,Upper middle income,                         ,#N/A               ,Secondary market of Eastern European countries within the Commonwealth of Independent States (CIS)                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,https://petrovax.com/press_centre/news/2020/1881/ ; https://www.bnnbloomberg.ca/russia-s-richest-man-seeks-global-market-for-local-covid-19-drug-1.1527470
Curevac           ,Novartis                                ,Publicly traded       ,Switzerland          ,High income        ,50                                            ,250                                             ,3/4/2021                           ,No                                         ,                              ,Bulk substance production,Plans to produce the mRNA and bulk drug product at facility in Austria.                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,Tech transfer mentioned as part of the agreement.                                                                                                                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,World                      ,0                  ,                         ,#N/A               ,"50m doses anticipated in 2021, 200m in 2022.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",https://www.novartis.com/news/media-releases/novartis-signs-initial-agreement-curevac-manufacture-covid-19-vaccine-candidate
Curevac           ,Fareva                                  ,Privately held        ,France               ,High income        ,                                              ,                                                ,12/9/2020                          ,No                                         ,                              ,Fill-and-finish          ,"Fareva's plants in France will provide fill & finish. This arrangement will support the production of ""millions of doses"".                                                                                                                                                                                                                                                                                                                                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Unspecified                ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.curevac.com/2020/12/09/curevac-and-fareva-sign-agreement-for-fill-finish-manufacturing-of-curevacs-covid-19-vaccine-candidate-cvncov/
Curevac           ,Bayer                                   ,Publicly traded       ,Germany              ,High income        ,                                              ,                                                ,1/7/2021                           ,No                                         ,                              ,Other                    ,"Through this ""collaboration and services arrangement"" Bayer will support CureVac in ""development and supply of"" the vaccine and will ""facilitate the supply of several hundred million doses."" Curevac will remain the Marketing Authorization Holder, but Bayer ""will support CureVac with country operations within the European Union (EU) and selected additional markets"" and Bayer holds ""further options to become Marketing Authorization Holder in market outside Europe""                                             ",                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Unspecified                ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://media.bayer.com/baynews/baynews.nsf/id/CureVac-and-Bayer-join-forces-on-COVID-19-vaccine-candidate-CVnCoV
Curevac           ,GlaxoSmithKline                         ,Publicly traded       ,United Kingdom       ,High income        ,100                                           ,                                                ,2/3/2021                           ,No                                         ,                              ,Full process             ,"GSK and Curevac have agreed to develop ""next generation mRNA vaccines for COVID-19"" and will also support the ""manufacture of up to 100 million doses of CureVac's first generation COVID-19 vaccine candidate"" in 2021.                                                                                                                                                                                                                                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                           ,Estimated a 150m GBP collaboration for the development of a new multivalent approach.                                                                                                                                                                                                                                                                                                                                                                                            ,Unspecified                ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.gsk.com/en-gb/media/press-releases/gsk-and-curevac-to-develop-next-generation-mrna-covid-19-vaccines/
Curevac           ,Rentschler Biopharma SE                 ,Privately held        ,Germany              ,High income        ,100                                           ,                                                ,11/1/2020                          ,No                                         ,                              ,Full process             ,"Will manufacture the API, ""downstream processing and formulation of drug substance for the vaccine."" Will be manufactured at Rentschler's site in Laupheim, Germany                                                                                                                                                                                                                                                                                                                                                                    ",Hiring additional 80 workers to meet demand                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Unspecified                ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.curevac.com/en/2021/02/01/curevac-and-rentschler-biopharma-ramp-up-manufacturing-of-covid-19-vaccine-cvncov/
Curevac           ,WACKER Chemie AG                        ,Publicly traded       ,Germany              ,High income        ,100                                           ,                                                ,11/23/2020                         ,No                                         ,                              ,Full process             ,Contract development and manufacturing. 100m doses/year to be produced at the WACKER Amsterdam facility.                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Includes tech transfer and may include plant expansion.                                                                                                                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Unspecified                ,0                  ,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.curevac.com/en/2020/11/23/curevac-and-wacker-sign-manufacturing-contract-for-curevacs-covid-19-vaccine-candidate-cvncov/
Gamaleya          ,Unidentified                            ,                      ,"Iran, Islamic Rep. ",Upper middle income,40                                            ,                                                ,1/30/2021                          ,Yes                                        ,Iran                          ,Full process             ,"Gamaleya and an unspecified Iranian manufacturer will begin to ""jointly produce"" the vaccine in Iran before March 20, 2021.                                                                                                                                                                                                                                                                                                                                                                                                            ",                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"Iran, Islamic Rep.       ",Upper middle income,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.chinadailyasia.com/article/160094 ; https://tass.com/world/1250733 ; https://www.reuters.com/article/health-coronavirus-iran-vaccination-int/iran-starts-covid-vaccination-awaits-more-vaccine-deliveries-idUSKBN2A9120
Gamaleya          ,Belpharprom                             ,State-owned enterprise,Belarus              ,Upper middle income,                                              ,                                                ,11/11/2020                         ,Yes                                        ,Belarus                       ,Full process             ,RDIF has provided the documentation and necessary biological material for the vaccine’s production. RDIF also assisted in equipment selection and procurement of any necessary consumables required in the process.                                                                                                                                                                                                                                                                                                                        ,RDIF has transferred the required vaccine production technology                                                                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Belarus                    ,Upper middle income,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://rdif.ru/Eng_fullNews/6473/ ; https://sputnikvaccine.com/newsroom/pressreleases/belarus-starts-vaccination-with-sputnik-v-/ ; https://www.ft.com/content/ffe40c7d-c418-4a93-a202-5ee996434de7
Gamaleya          ,Dr Reddy's                              ,Publicly traded       ,India                ,Lower middle income,                                              ,100                                             ,9/16/2020                          ,No                                         ,                              ,Other                    ,The two will cooperate on clinical trials and distribution of Sputnik V vaccine in India                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"Details of tech transfer unavailable, but Dr Reddy's said in Nov 2020 that 'that the process of technology transfer started at its partner site (for manufacturing) in India' (Business Standard)                                                                                                                                                                                                        ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,India                      ,Lower middle income,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://www.prnewswire.com/news-releases/rdif-and-dr-reddys-to-cooperate-on-clinical-trials-and-supply-of-100-million-doses-of-sputnik-v-vaccine-to-india-301132146.html ; https://www.business-standard.com/article/companies/hetero-labs-to-manufacture-100-mn-doses-of-sputnik-v-vaccine-for-india-120112700495_1.html ; https://www.ft.com/content/316b77c1-e640-4d53-8dec-547b1b5651d8
Gamaleya          ,Hetero                                  ,Privately held        ,India                ,Lower middle income,100                                           ,                                                ,11/27/2020                         ,No                                         ,                              ,Full process             ,"Contract to produce ""more than"" 100m doses/year.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Unspecified                ,0                  ,                         ,#N/A               ,February Financial Times article notes that Hetero is awaiting approval from national regulators before it can begin to growing the bulk virus culture.                                                                                                                                                                                                                                                                                                                                                                                                           ,https://sputnikvaccine.com/newsroom/pressreleases/rdif-and-hetero-agree-to-produce-over-100-million-doses-of-the-sputnik-v-vaccine-in-india/ ; https://www.ft.com/content/316b77c1-e640-4d53-8dec-547b1b5651d8
Gamaleya          ,União Química                           ,Privately held        ,Brazil               ,Upper middle income,72                                            ,                                                ,10/29/2020                         ,No                                         ,                              ,Full process             ,"União Química will locally produce the vaccine for Brazil and other Latin American countries. 72m doses in 2021 anticipated, based on estimate of 8m doses/month being produced starting in April. Technology transfer from RDIF, ""including provision of documents and biomaterials. Local production of Sputnik V in Brazil has been launched in January."" Reporting from February 2021 notes that production at Uniao Quimica was in pilot production and would reach ""full output of 8m doses per month"" starting in April 2021. ","Technology transfer ""including provision of documents and biomaterials. Local prodcution of Sputnik V in Brazil has been launched in January.""                                                                                                                                                                                                                                                         ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Brazil                     ,Upper middle income,Latin America & Caribbean,0                  ,União Química plans to make vaccine produced by it available in Brazil and throughout Latin America at ~3 USD/dose.                                                                                                                                                                                                                                                                                                                                                                                                                                               ,https://sputnikvaccine.com/newsroom/pressreleases/rdif-and-uni-o-qu-mica-file-documents-for-registration-of-sputnik-v-vaccine-with-regulator-in-brazil/ ; https://www.reuters.com/article/us-health-coronavirus-brazil-sputnik-idUSKBN2782VS ; https://www.reuters.com/article/us-health-coronavirus-russia-vaccine-bra/russia-makes-preliminary-submission-of-covid-19-vaccine-to-brazil-regulators-idUSKBN27F2OO ; https://sputnikvaccine.com/newsroom/pressreleases/rdif-and-uni-o-qu-mica-to-supply-10-million-doses-of-sputnik-v-vaccine-to-brazil/ ; https://www.ft.com/content/316b77c1-e640-4d53-8dec-547b1b5651d8
Gamaleya          ,VisCoran                                ,Privately held        ,Turkey               ,Upper middle income,                                              ,                                                ,1/23/2021                          ,No                                         ,                              ,Full process             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"No details, but mention tech transfer in the press release                                                                                                                                                                                                                                                                                                                                               ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Turkey                     ,Upper middle income,Unspecified              ,0                  ,Details are unclear. There are mentions of supplying the Turkish market first before supplying to other countries. Number of doses also not mentioned in the press release.                                                                                                                                                                                                                                                                                                                                                                                       ,https://tass.com/economy/1248149 ; https://ahvalnews.com/sputnik-v/turkish-state-run-bank-chief-lead-production-sputnik-v-head-mystery-pharma-firm
Gamaleya          ,Duopharma Biotech                       ,Publicly traded       ,Malaysia             ,Upper middle income,                                              ,6.4                                             ,1/26/2021                          ,Yes                                        ,Malaysia                      ,Fill-and-finish          ,Duopharma will also distribute the vaccine in Malaysia                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,"RDIF and Gamaleya will provide some technology transfer, but details are vague.                                                                                                                                                                                                                                                                                                                          ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Malaysia                   ,Upper middle income,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://disclosure.bursamalaysia.com/FileAccess/apbursaweb/download?id=111133&name=EA_GA_ATTACHMENTS
Gamaleya          ,Karaganda Pharmaceutical Enterprises    ,Unclear               ,Kazakhstan           ,Upper middle income,                                              ,2                                               ,12/4/2020                          ,No                                         ,Kazakhstan                    ,Bulk substance production,"Kazakhstan is producing the vaccine locally, which will be sent to Gamaleya for final verification. Via a cooperation agreement between RDIF and Kazakhstan Ministry of Health.                                                                                                                                                                                                                                                                                                                                                          ","Tech transfer details are limited, but RDIF news reports that RDIF and the Gamaleya Center are providing any necessary assistance to facilitate technology transfer. The capacity is reported as at least 2m doses.                                                                                                                                                                                      ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,Kazakhstan                 ,Upper middle income,                         ,#N/A               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,https://rdif.ru/fullNews/6218/; https://gmpnews.net/2020/12/production-of-russian-sputnik-v-vaccine-against-coronavirus-launched-in-kazakhstan/ ; https://www.themoscowtimes.com/2021/02/16/kazakhstan-to-roll-out-first-locally-produced-sputnik-vaccine-a72971
